index,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6_1,feature_7,feature_8,feature_9,feature_10,feature_11,type,,,,,,
1,2.172501489,1.40441257,1.449358449,2.837330813,0.946803672,0,0,-0.113012197,1.233069612,1598941681,1.286837737,B,,,,,,
2,4.044870106,-0.743768987,0.787406054,2.949177531,-0.330996045,0,74,3.389562646,-2.090629736,1598941681,0.798093504,A,,,,,,
3,0.551652465,2.911209636,2.248709268,3.326622154,-0.513968348,1,40,1.676478334,2.023661277,1598941681,0.353879488,B,,,,,,
4,4.650136121,2.677603728,2.271450464,3.383011509,0.099549374,0,4,2.54749554,3.915248536,1598941681,0.312332577,D,,,,,,
5,2.34364063,-0.066975674,1.654778691,2.758317459,0.735881614,1,75,-0.952642731,-7.576961498,1598941681,0.035818386,D,,,,,,
6,1.672202419,2.64268092,1.430530934,2.54535817,0.103385018,0,12,2.01493649,-4.593362786,1598941681,4.691861433,B,,,,,,
7,4.613681568,0.73397474,0.954764206,3.00985496,-1.945256921,0,80,0.833696921,0.875313552,1598941681,2.347339334,A,,,,,,
8,1.303597413,3.234590822,1.838232635,2.972306429,-0.191198901,0,2,-4.775691225,5.333014218,1598941681,1.480288409,D,,,,,,
9,3.41103554,0.840266195,1.219964244,2.998762698,-0.655631492,0,12,1.420878181,-2.847048255,1598941681,2.324845553,B,,,,,,
10,1.935063987,-0.481898885,1.963327963,2.871052568,-0.94363527,0,97,2.008368453,-1.265148043,1598941681,1.067075768,A,,,,,,
11,3.759910044,0.359584514,1.949319528,3.383348607,-1.397150851,1,1,1.67789144,6.163399384,1598941681,1.328738427,D,,,,,,
12,3.006527182,1.418091852,1.208686723,3.008952639,-0.56224844,1,10,-4.011227523,-7.258876749,1598941681,0.844248402,E,,,,,,
13,3.202782584,0.55288392,2.119954626,2.640750623,-0.255251133,0,48,-2.604007,-3.932365538,1598941681,0.147579193,A,,,,,,
14,2.085642279,2.541547454,1.803514681,3.36539204,-0.465622669,0,76,0.279994952,-1.61992031,1598941681,0.036616418,A,,,,,,
15,2.769890706,1.876005684,1.637904736,2.79134361,0.109542386,1,27,-1.003164806,-3.051582142,1598941681,1.028411608,D,,,,,,
16,2.257164213,2.259941093,1.301230647,3.461445745,0.931431638,1,70,4.549826166,-1.552421038,1598941681,2.198518175,C,,,,,,
17,1.330740839,3.425545678,2.978715605,2.831224599,-0.10783045,1,81,-0.455135779,1.775076996,1598941681,3.222690834,B,,,,,,
18,3.731229934,2.671412107,0.552182387,2.663667701,-1.883764508,1,52,-0.680891823,0.880255413,1598941681,1.955354606,A,,,,,,
19,2.700831597,1.663035386,0.747861794,2.855970787,-1.207136595,1,56,-4.234113832,-4.470039966,1598941681,1.338666329,C,,,,,,
20,2.929851002,2.367776973,1.531852842,2.890421265,0.001879527,1,87,2.599735091,-5.274479803,1598941681,1.233368713,C,,,,,,
21,1.717200427,1.352587782,0.710021706,2.850408964,0.71762856,0,26,-2.413031767,1.944218137,1598941681,0.009376636,B,,,,,,
22,2.299174577,0.944833747,1.839135412,3.185927625,-0.094538463,0,93,-0.744564967,-0.906356257,1598941681,0.583056205,B,,,,,,
23,4.133425247,2.117590349,0.472036494,2.778067339,-0.184292328,1,76,2.182691403,2.252768719,1598941681,0.819113108,A,,,,,,
24,3.681082384,-0.173633511,0.359957207,2.563018219,-0.643010332,1,85,3.047323821,0.917978806,1598941681,1.094949275,C,,,,,,
25,2.246666587,0.443956405,1.970709103,2.836664778,-0.660522975,0,54,-3.367688574,5.597576356,1598941681,0.576503465,D,,,,,,
26,1.055582087,0.900448317,3.101335071,2.603316955,-0.05264406,1,12,0.598165628,1.570824553,1598941681,0.330660659,A,,,,,,
27,2.135561259,0.030191611,1.398968908,3.07978698,-1.694917636,1,2,-2.361559798,-4.004821052,1598941681,1.991896228,C,,,,,,
28,3.739446638,2.700742015,0.928927253,2.814058368,-1.450940033,1,94,-2.727895944,-4.497626178,1598941681,2.298148545,C,,,,,,
29,3.391985266,1.483871113,1.850590964,3.09431333,-0.835796821,1,56,-1.512666576,5.598579056,1598941681,1.435955497,C,,,,,,
30,2.44833336,1.069673842,1.372285324,2.836825061,-2.37577723,0,48,0.02586232,5.096226809,1598941681,0.218645721,D,,,,,,
31,3.140969008,-0.135408905,2.805936321,3.04183586,-1.048778984,1,38,0.24952691,2.897890123,1598941681,0.01814294,B,,,,,,
32,0.656627904,-0.004691824,1.306336822,2.560868824,0.633443528,0,68,4.545195187,5.959889369,1598941681,0.69950161,D,,,,,,
33,3.629670825,0.426864344,1.948875128,3.345236034,-0.92239392,0,27,-2.235435163,3.206510185,1598941681,0.027553464,D,,,,,,
34,3.245859258,1.915959381,0.706066136,2.652262351,0.005572268,1,7,-0.279610117,-4.180599028,1598941681,1.650901595,D,,,,,,
35,4.452168409,0.934820672,0.753523715,3.450061497,-1.141073879,1,47,-4.091537267,4.244175511,1598941681,1.180900489,C,,,,,,
36,2.638853024,0.319357988,2.0370645,2.68691903,0.870173181,1,99,4.305546584,4.62854056,1598941681,0.275969517,E,,,,,,
37,2.178858727,0.398882342,0.443496509,2.952621522,-1.107593715,1,29,6.066530143,-3.343349694,1598941681,0.013215369,C,,,,,,
38,1.916595287,1.3627701,1.92814672,3.445025054,-1.246698578,0,97,6.148592257,2.704726288,1598941681,0.472128164,C,,,,,,
39,0.829149999,0.44485263,2.089441574,2.872762837,-0.097324614,0,48,0.378918057,-3.703607623,1598941681,2.615725524,B,,,,,,
40,2.927301021,0.977873251,1.390017302,2.808548143,-1.826939949,0,25,1.67919662,-3.221401291,1598941681,0.010020134,D,,,,,,
41,-1.932185161,0.708822607,0.069766638,3.022597966,-0.958972534,1,16,-1.340009411,1.996352803,1598941681,0.807589797,C,,,,,,
42,2.175957275,-0.125806541,1.91091314,3.362463443,-0.194329627,1,48,-0.194653749,-1.18289692,1598941681,2.447038838,B,,,,,,
43,2.591054721,0.797561174,-1.282454349,3.31860668,-1.974945474,0,83,0.929574039,-1.629416137,1598941681,0.211584327,A,,,,,,
44,1.817356312,1.120752774,2.630253971,2.934801086,1.102684611,1,28,-1.357693049,-1.528463516,1598941681,1.39851246,B,,,,,,
45,2.982510468,-0.930512366,0.190847239,2.522708412,1.525097243,1,53,1.709289369,-2.257836141,1598941681,2.153689307,B,,,,,,
46,2.456748292,-0.276946996,1.290683035,2.782023773,-1.53120839,0,3,3.737108342,1.00213406,1598941681,0.81696811,A,,,,,,
47,2.580002992,0.766382062,0.702447337,2.932431,0.570913095,0,8,-7.267738641,3.222849679,1598941681,0.861113903,E,,,,,,
48,1.642570876,1.352354693,0.882007811,3.393334149,0.594761905,1,18,-3.610757602,1.968925242,1598941681,1.053439697,D,,,,,,
49,2.964496143,3.249309629,1.500570438,3.176755556,-1.172994677,1,85,-4.012664834,3.21844771,1598941681,0.205143483,C,,,,,,
50,3.533895486,2.372065873,1.132978893,2.592365187,-2.009099528,0,32,-1.299978841,-0.460565701,1598941681,0.443074721,A,,,,,,
51,3.802249485,1.940173081,2.628736339,2.587087054,0.059954838,1,27,-0.658912032,-4.037859388,1598941681,0.962863044,C,,,,,,
52,3.951719477,2.757806557,-2.412277072,2.85147579,-0.31591951,1,34,-0.444698605,4.850813442,1598941681,1.243416028,C,,,,,,
53,1.292088494,0.890295838,-0.433138928,2.863897602,0.482983482,1,95,-0.206282609,5.383238348,1598941681,1.090245702,D,,,,,,
54,4.204468802,2.087834906,0.636269627,3.440817948,-1.410532812,1,8,-0.246732552,0.597648325,1598941681,0.934462571,A,,,,,,
55,0.749607686,-0.121641881,0.544864756,3.151395525,-0.325799345,1,30,-1.785828024,4.87240401,1598941681,0.042990071,B,,,,,,
56,2.169371784,3.342037257,2.32023796,3.23160932,-1.044674503,0,64,1.00303982,-4.707641133,1598941681,0.611465316,E,,,,,,
57,4.446342352,3.17056137,1.613901582,3.340181814,0.155443875,1,40,-1.4582022,-6.26804724,1598941681,1.430239383,E,,,,,,
58,3.072236897,0.20536074,1.564512748,2.785180656,-2.37381581,1,33,-1.056445103,4.122713357,1598941681,1.23556106,D,,,,,,
59,1.640586267,1.541087203,2.015580346,2.50336718,-0.472286799,0,84,-1.607744026,-2.481614229,1598941681,0.647519115,B,,,,,,
60,3.739886846,0.970723325,2.668245939,2.771382665,-0.649512626,1,30,1.10609753,-2.743639507,1598941681,1.225288038,A,,,,,,
61,2.742671616,0.490794094,-0.083487673,3.164787766,-0.273655541,1,18,2.715135416,0.491154248,1598941681,1.578335155,B,,,,,,
62,2.010596294,1.275287803,1.21784104,3.100172119,-0.72154592,0,70,-3.377425157,1.341015,1598941681,0.285403274,B,,,,,,
63,2.90892974,1.390105052,0.446089442,2.736860051,-1.292268958,1,72,0.175846699,1.610578829,1598941681,1.862378105,A,,,,,,
64,1.942512126,1.031423054,2.719229712,3.094302284,0.958616497,0,46,1.199063998,5.844836858,1598941681,2.488561716,B,,,,,,
65,2.268825684,1.334554302,1.607839356,3.427764219,0.250326673,1,88,1.882035237,-0.854337537,1598941681,0.011894154,A,,,,,,
66,1.289936475,-0.043451881,0.709569442,3.149597089,0.36060528,0,57,-0.242007275,-4.526062456,1598941681,0.159562234,B,,,,,,
67,1.306235936,0.607277511,1.58534161,3.367451892,0.670270852,1,34,-0.311372285,-3.047441563,1598941681,0.390752982,C,,,,,,
68,1.979527356,0.377121483,0.741294509,3.35143644,-0.446313973,1,38,-4.026580603,-2.692833417,1598941681,1.619192189,B,,,,,,
69,1.70861125,-0.127691594,1.92125725,3.000560186,1.456114123,1,9,-0.019427967,0.090466659,1598941681,1.074824435,A,,,,,,
70,3.145539467,3.086562397,3.148587772,3.224034955,-0.780252707,1,27,2.303993069,-2.064845684,1598941681,0.954232341,C,,,,,,
71,3.224662753,1.626065993,0.062515548,2.782600674,-0.876650625,1,94,4.212748733,-6.925445539,1598941681,1.856042309,E,,,,,,
72,1.397719887,0.553076947,0.677621914,3.172757721,-1.272260087,1,14,-3.366863136,-1.277749223,1598941681,2.185011329,B,,,,,,
73,3.885376113,1.11665811,1.946720831,2.575223308,-1.319779624,1,34,-2.032818985,-4.339751951,1598941681,0.34971347,B,,,,,,
74,1.07435065,0.403175866,0.502703659,2.563854137,-2.028887034,0,91,-3.378573282,-6.686093802,1598941681,0.250596424,D,,,,,,
75,2.805613879,0.07508385,0.32089318,3.012279064,-2.575755337,1,84,0.622064861,2.126771378,1598941681,0.1586703,C,,,,,,
76,3.138870352,-1.224157355,-0.356515226,3.375256948,-1.403426082,1,59,1.942136716,-2.927248393,1598941681,3.990701709,B,,,,,,
77,3.5053967,2.761393916,2.85376154,3.168233583,-0.919840945,1,11,0.621913621,-2.055257858,1598941681,1.183511246,C,,,,,,
78,2.262506296,3.042689058,2.985005267,3.236309688,1.20928824,1,89,0.73545924,1.987782302,1598941681,0.23597338,C,,,,,,
79,2.113749744,1.159455475,1.786503638,2.556584209,0.398553226,1,47,1.042031422,5.410161243,1598941681,0.457498323,C,,,,,,
80,0.863882121,-0.46591206,0.725727593,2.847924386,-0.480177621,1,30,-0.905661399,1.568749147,1598941681,0.381201048,B,,,,,,
81,0.396645809,1.79824426,2.529555177,3.467473884,-2.226332881,1,2,-2.043549235,2.51879509,1598941681,1.291844117,D,,,,,,
82,4.581000318,0.299115073,1.433671317,3.027537952,-0.710214729,0,82,0.273155864,-8.056680578,1598941681,0.703252897,E,,,,,,
83,1.07023185,0.367376689,0.279340391,2.932755256,-0.561118749,0,5,1.63084116,3.938019853,1598941681,0.524111531,B,,,,,,
84,1.704330535,1.692685877,1.731351063,2.910928084,-1.003017598,1,20,1.976934192,4.432438397,1598941681,0.374414619,C,,,,,,
85,0.80079499,1.690057511,2.152694858,3.163934408,-0.849269985,1,78,0.960851812,1.160179001,1598941681,0.126014897,B,,,,,,
86,1.745724277,0.484777413,0.075490846,3.069521117,0.349437831,1,97,-0.48091054,4.898619046,1598941681,0.121173581,B,,,,,,
87,0.707069177,3.468218566,0.96486247,2.509036235,-0.261876284,1,19,0.595048441,2.61040498,1598941681,0.594972515,C,,,,,,
